productTypeName,name,company,price,link,imageURL
Phones,iPhone 11 Pro Max,Apple,1099,https://www.gsmarena.com/apple_iphone_11_pro_max-9846.php,"https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/iphone-11-pro-max-midnight-green-select-2019_AV3?wid=1246&hei=518&fmt=jpeg&qlt=80&op_usm=0.5,0.5&.v=1567202973582"
Phones,iPhone 11 Pro,Apple,999,https://www.gsmarena.com/apple_iphone_11_pro-9847.php,"https://store.storeimages.cdn-apple.com/8756/as-images.apple.com/is/iphone-11-pro-gold-select-2019_AV3?wid=1246&hei=518&fmt=jpeg&qlt=80&op_usm=0.5,0.5&.v=1567202971771"
Phones,iPhone 11,Apple,699,https://www.gsmarena.com/apple_iphone_11-9848.php,"https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/iphone11-white-select-2019_AV3?wid=1246&hei=518&fmt=jpeg&qlt=80&op_usm=0.5,0.5&.v=1567202193608"
Phones,iPhone SE,Apple,399,https://www.gsmarena.com/apple_iphone_se_(2020)-10170.php,https://fdn.gsmarena.com/imgroot/news/19/10/kuo-iphone-se-2-ipad-pro-ar-headset/-1220x526/gsmarena_000.jpg
Phones,Galaxy Note 20 Ultra 5G,Samsung,1299,https://www.gsmarena.com/samsung_galaxy_note20_ultra_5g-10261.php,https://www.techesit.com/wp-content/uploads/2020/07/galaxy-note-20-ultra-actual-renders.jpg
Phones,Galaxy Note 20 5G,Samsung,999,https://www.gsmarena.com/samsung_galaxy_note20_5g-10325.php,https://9to5google.com/wp-content/uploads/sites/4/2020/08/samsung_galaxy_note_20_ultra_5.jpg?quality=82&strip=all
Phones,Galaxy S20 Plus,Samsung,709,https://www.gsmarena.com/samsung_galaxy_s20+-10080.php,https://cdn.mos.cms.futurecdn.net/kpoSe2Jmn4ghwMAxnBtdid.jpg
Phones,Galaxy S20,Samsung,679,https://www.gsmarena.com/samsung_galaxy_s20-10081.php,https://exchange.telstra.com.au/wp-content/uploads/2020/02/HubbleMultiColour-1.jpg
Phones,OnePlus 8 Pro,OnePlus,999,https://www.gsmarena.com/oneplus_8_pro-9919.php,https://image01.oneplus.net/shop/202004/13/1-M00-12-CC-rB8LB16UWfmAQckqAALyjZWvXE4889.jpg
Phones,OnePlus 8,OnePlus,699,https://www.gsmarena.com/oneplus_8-10161.php,https://cdn.mos.cms.futurecdn.net/JToL22aByx7WNtamUC7ArK.jpg
,,,,,
Laptops,MacBook Pro 16-inch,Apple,2399,https://www.theverge.com/2019/11/21/20974649/apple-macbook-pro-16-inch-laptop-review-keyboard-test-specs-price-features,https://9to5mac.com/wp-content/uploads/sites/6/2019/12/Buying-the-16-inch-MacBook-Pro-%E2%80%93-main-image.jpg?quality=82&strip=all
Laptops,MacBook Air,Apple,899,https://www.theverge.com/2020/3/26/21195008/apple-macbook-air-review-2020-new-keyboard-processor-battery-life-camera-price,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
Laptops,XPS 13,Dell,1099,https://www.theverge.com/2020/4/15/21221003/dell-xps-13-2020-review-core-i7-specs-features-price,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
Laptops,ROG Zephyrus G14,Asus,1449,https://www.theverge.com/2020/3/30/21197761/asus-rog-zephyrus-g14-review-gaming-laptop-specs-features-price,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
Laptops,Envy X360,HP,869,https://www.theverge.com/21319378/hp-envy-x360-2020-amd-review-price-specs-features,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
Laptops,Spectre X360 13,HP,1299,https://www.theverge.com/2019/12/16/21022770/hp-spectre-x360-13-2019-laptop-2-in-1-convertible-review-price-specs-features,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
Laptops,MacBook Pro 16-inch,Apple,1799,https://www.theverge.com/21256520/apple-13-inch-macbook-pro-2020-review-keyboard-specs-price-features,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
,,,,,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
PCs,Aspire TC-885-UA92,Acer,549,https://www.pcmag.com/reviews/acer-aspire-tc-885-ua92,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
PCs,NUC 9 Extreme Kit,Intel,1549,https://www.pcmag.com/reviews/intel-nuc-9-extreme-kit-ghost-canyon,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
PCs,iMac 27-inch,Apple,1799,https://www.pcmag.com/reviews/apple-imac-27-inch-2020,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
PCs,Precision 7920 Tower,Dell,2129,https://www.pcmag.com/reviews/dell-precision-7920-tower-2020,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
PCs,Envy 32 All-in-One,HP,1699,https://www.pcmag.com/reviews/hp-envy-32-all-in-one,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
PCs,Z2 Tower G4,HP,909,https://www.pcmag.com/reviews/hp-z2-tower-g4,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
PCs,Surface Studio 2,Microsoft,3499,https://www.pcmag.com/reviews/microsoft-surface-studio-2,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
PCs,Aurora R10 Ryzen Edition,Alienware,1099,https://www.pcmag.com/reviews/alienware-aurora-r10-ryzen-edition,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
PCs,G5 Gaming Desktop,Dell,699,https://www.pcmag.com/reviews/dell-g5-gaming-desktop,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
,,,,,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
Headphones,WH-1000XM4,Sony,349,https://www.techradar.com/reviews/sony-wh-1000xm4-wireless-headphones,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
Headphones,Triple Driver In-Ear,1More,69,https://www.techradar.com/reviews/1more-triple-driver-in-ear-headphone,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
Headphones,S500u In-Ear,RHA,39,https://www.techradar.com/reviews/rha-s500u-in-ear-headphones,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
Headphones,PX7 Wireless Headphones,Bowers & Wilkins,399,https://www.techradar.com/reviews/bowers-and-wilkins-px7-wireless-headphones,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
Headphones,1000XM3 In-Ear,Sony,179,https://www.techradar.com/reviews/sony-wf-1000xm3-wireless-earbuds,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
Headphones,Noise Cancelling 700 (NC-700),Bose,379,https://www.techradar.com/reviews/bose-noise-cancelling-headphones-700-review,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
Headphones,BackBeat Go 810,Plantronics,59,https://www.techradar.com/reviews/plantronics-backbeat-go-810,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
Headphones,HD 450BT Noise Cancelling,Sennheiser,199,https://www.techradar.com/reviews/sennheiser-hd-450bt,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg
Headphones,Tune 750BTNC,JBL,99,https://www.techradar.com/reviews/jbl-tune-750btnc,https://azcd.harveynorman.com.au/media/catalog/product/i/p/iphone_11_pro_max_sg_2.jpg